id,first_name,last_name,start_date,end_date,employment_type,region,area,function,business unit
95d1bdac-6a7b-4b9c-8573-37d7d0a6ca3f,Carlo,Ransome,19 October 2020,,Full-Time,Philippines,Labo,Product Management,Basic Industries
3ece1e01-b1b0-423c-ab45-a50ffb011786,Debi,Powelee,03 October 2020,,Full-Time,Philippines,Suba,Human Resources,Energy
b07b70f4-19d9-49f1-9b43-fe64b173be9f,Julie,Bezemer,27 February 2020,,Full-Time,Philippines,Mozzozzin Sur,Engineering,Basic Industries
5e79a981-aa2e-4c3a-a989-717a6bfd3841,Ingrim,Sanham,18 December 2018,,Full-Time,Philippines,Baugo,Engineering,n/a
59b7f989-3ea9-4205-bf62-c76ad3214016,Ferdy,Gilffilland,13 April 2020,,Full-Time,Philippines,Quipot,Product Management,Finance
4bdc1fc1-ddf7-42f3-b20c-dd654c056ae2,Myrah,Gullberg,05 November 2020,,Full-Time,Philippines,Casuguran,Sales,Consumer Services
17bd3415-4e24-4937-a44a-d8cf52a5b8af,Brina,Petrovic,02 January 2019,,Full-Time,Philippines,Marcos,Accounting,n/a
542e0b81-6a32-4c7e-8ff2-c0158b6a78d8,Waylan,Emlin,02 May 2020,,Full-Time,Philippines,San Eugenio,Services,n/a
d3406833-a61f-4527-b323-07e41ee3a22c,Teddy,Daborn,12 November 2020,,Full-Time,Philippines,Bulo,Human Resources,Miscellaneous
d83a6089-020e-49c9-9a19-ba5720c1753a,Wright,Boston,08 January 2020,,Full-Time,Philippines,Lagangilang,Marketing,Consumer Services
75dbfaa6-ea1a-401f-af50-1932d717a3d1,Lonna,Antyshev,19 August 2019,,Full-Time,Philippines,Little Baguio,Legal,n/a
e2ac574e-ea5c-4a9a-b7f4-d98099618e70,Collete,Marskell,11 April 2019,,Full-Time,Philippines,Sankanan,Marketing,Miscellaneous
acc97b65-205b-4a6a-966d-663c93b91f32,Chane,Painten,20 June 2019,,Full-Time,Philippines,Libog,Business Development,Technology
8e80f651-6734-4f46-83d6-83c5a67ca386,Ardith,Speachley,04 August 2019,,Full-Time,Philippines,Mianay,Product Management,Basic Industries
e7db0d4c-c8c4-400b-8453-d93f162aa10d,Terri,Smorfit,14 April 2020,,Full-Time,Philippines,Guinsadan,Services,Energy
9c0d2f14-b22a-4706-94fe-1eada0eaff5d,Tandi,Crunkhorn,01 October 2019,,Full-Time,Philippines,Santa Fe,Human Resources,Consumer Non-Durables
a9c7da6c-0606-4948-a372-3a1b08822452,Galven,Longworth,24 May 2019,,Full-Time,Philippines,Dapdapan,Marketing,Miscellaneous
b6f9bac2-cbea-4fe8-b858-5c428f94165a,Henrik,Drought,25 March 2019,,Full-Time,Philippines,Dumingag,Research and Development,Consumer Non-Durables
de8282d6-53de-43e2-8e95-8cf9108cb44f,Darcey,Reville,20 January 2020,,Full-Time,Philippines,San Vicente,Human Resources,Miscellaneous
f92d8a4f-3f07-4850-b0f9-c3d0ad4b0deb,Janetta,Izakovitz,01 August 2020,,Full-Time,Philippines,Mantalongon,Research and Development,Consumer Services
85973e9c-db2a-4473-8e91-6b7cec4b17f8,Magdalen,Neem,18 August 2020,,Full-Time,Philippines,San Jose,Training,Health Care
6888c63b-3bec-4526-ab8a-fac3866c98b1,Celeste,Wennam,21 September 2019,,Full-Time,Philippines,Calape,Human Resources,Consumer Services
4df15cb8-64e2-4012-84de-a679f412535e,Nappy,Temporal,24 October 2019,,Full-Time,Philippines,Balogo,Business Development,Consumer Durables
fae04b17-96eb-4976-86d0-fbc64fd1b547,Cornelia,Hachette,05 September 2019,,Full-Time,Philippines,Armenia,Support,n/a
fbe98c0c-9843-4628-8cef-1460466dc3e1,Evin,Vicker,17 October 2020,,Full-Time,Philippines,Limbuhan,Product Management,Energy
664ab0da-4bb8-4ffe-961f-25523616a540,Jacynth,Leyson,01 February 2020,,Full-Time,Philippines,Kudanding,Engineering,Capital Goods
09466cba-0788-4dad-81bf-3e82b0631dfe,Carlie,Delacroix,04 September 2020,,Full-Time,Philippines,Atok,Engineering,Consumer Services
ee8ba485-6b9e-4fe3-88d8-1ff126fde69a,Morten,Bramsen,21 December 2020,,Full-Time,Philippines,Gumalang,Training,Technology
7d6ff665-532a-40e6-bf81-5e9a09cb8b86,Rickie,Scanterbury,01 December 2020,,Full-Time,Philippines,Luna,Training,Health Care
563d8d7d-6a9a-4c2d-a229-31b3b4a4a67c,Emelda,Tring,15 November 2020,,Full-Time,Philippines,Bulacan,Support,Health Care
6dbf36c4-6e85-485b-b5f1-1a0d9954e79b,Leon,Staneland,22 February 2018,,Full-Time,Philippines,Polo,Services,Miscellaneous
20af97dc-e264-4667-94f2-b775e0f82705,Wynn,Whewell,01 December 2019,,Full-Time,Philippines,Villasis,Human Resources,Consumer Services
48838499-9d21-4e6a-b8f4-e7bef2e2dc75,Kinna,Lewsam,31 October 2018,,Full-Time,Philippines,Abangay,Product Management,Finance
6182c38c-056f-4d3f-a585-e51c41c38ddc,Felicle,Kettoe,25 July 2020,,Full-Time,Philippines,Tagasilay,Sales,Finance
bc126787-0e5a-43ba-bfc1-5006154607af,Claresta,Gobourn,17 May 2019,,Full-Time,Philippines,San Miguel,Product Management,Miscellaneous
ad74a0f0-147f-4edf-949b-f149fde56b9d,Tally,Boyd,17 October 2018,,Full-Time,Philippines,Santa Ana,Research and Development,Capital Goods
cc59db4e-aff7-420f-97de-d1adca0b248a,Katherine,Luparti,07 April 2019,,Full-Time,Philippines,Bigaan,Marketing,Technology
8b463e7a-fb8f-41ec-8993-b9f4aa88e42e,Lorens,Klugman,14 February 2020,,Full-Time,Philippines,Montevista,Human Resources,Consumer Non-Durables
2681bcf0-b09e-4786-8dbe-1e7d5da095f8,Marabel,Francis,06 November 2020,,Full-Time,Philippines,DoÃ±a Remedios Trinidad,Sales,n/a
cae63dee-eb97-4f23-81c6-8da776e440c3,Sibby,Fanshaw,06 September 2020,,Full-Time,Philippines,Balibago,Accounting,n/a
dfe669bf-88fd-42c4-bb74-10ab1b1de924,Gare,Pesticcio,18 December 2018,,Full-Time,Philippines,Logon,Accounting,Consumer Services
57da3b2e-b7ed-4cd4-ba75-eaa2c5a0f9ad,Gardner,Houndsom,27 December 2020,,Full-Time,Philippines,Bula,Business Development,Consumer Durables
d9a904c8-db91-4934-8177-64b990150c80,Patricio,Sutliff,24 July 2019,,Full-Time,Philippines,Talisay,Engineering,Consumer Services
fc7f1176-ec35-43b2-82cf-ea07e7a4f913,Pascale,Dench,09 September 2020,,Full-Time,Philippines,Bualan,Engineering,Health Care
1348bccc-33f7-400d-b5db-df188d997f74,Mildred,Chown,27 March 2020,,Full-Time,Philippines,Calubcub Dos,Marketing,Consumer Services
c40c6d14-c8c0-46ae-b982-21a17e29f0d4,Ofella,McDyer,20 May 2019,,Full-Time,Philippines,Llanera,Marketing,Consumer Services
c1efeaa5-a1e0-4a95-be9a-946ab681daff,Bogey,Alfonzo,13 October 2019,,Full-Time,Philippines,Buga,Product Management,Basic Industries
08a0d62e-670f-4b31-acd8-a41edb4231d9,Poul,Solloway,05 January 2021,,Full-Time,Philippines,Balete,Services,Consumer Services
d6ffca39-de50-4809-9df4-b753e18b26de,Cecile,Abramof,21 June 2020,,Full-Time,Philippines,Pulo,Research and Development,Consumer Services
536949f4-5c59-417c-8cf3-8283ce8e3345,Meagan,Gaine of England,08 January 2019,,Full-Time,Philippines,San Vicente,Marketing,Consumer Services
4d61891f-3d73-43eb-9ba0-2cb470547126,Ailene,Youdell,13 July 2018,,Full-Time,Philippines,Suay,Marketing,Consumer Services
77d0756b-782f-4c22-84a2-800368d420bf,Brittne,Copo,17 December 2019,,Full-Time,Philippines,Catayauan,Business Development,n/a
7f313539-3ef3-400e-aaac-e0f8a8f054f6,Mella,Dunsleve,02 December 2019,,Full-Time,United States,Long Beach,Human Resources,Health Care
1a97b49c-1c6a-4669-b0a6-a16c5b2e4791,Linea,Gilchriest,31 July 2019,,Full-Time,United States,Memphis,Training,Consumer Services
90869c1a-22da-4da1-b21a-c38c57217c6b,Zackariah,Nottingham,17 August 2019,,Full-Time,United States,Honolulu,Business Development,Consumer Non-Durables
160e73a5-3e6f-4e48-918c-a934bf13938e,Doyle,Agates,28 March 2020,,Full-Time,France,Nantes,Research and Development,n/a
b8b922f2-29e1-4651-b323-6e08da3caa18,Beverie,Goligly,20 February 2019,,Full-Time,Canada,Ponoka,Services,Technology
6a31b9e9-b73e-49fa-9c17-94cff392bb43,Catherin,Snoding,26 May 2020,,Full-Time,United States,Chicago,Marketing,Health Care
ba9a780d-8e16-49ac-94b5-b278b16e4ce5,Stacee,Cortin,05 December 2019,,Full-Time,United States,Minneapolis,Engineering,Transportation
fa11c421-55a8-40e4-9917-75950099c08d,Gracie,Itzcovichch,11 September 2020,,Full-Time,France,Savigny-le-Temple,Services,Energy
c72863e1-e81e-4758-8666-aafa8152f933,Rachel,Milne,04 February 2020,,Full-Time,France,Troyes,Training,Energy
4ff833c6-74f8-4274-9612-5af0ded88841,Nisse,Kleinholz,16 June 2020,,Full-Time,Canada,Beaverlodge,Product Management,Finance
c7767359-5220-4e28-afce-901ec56963ec,Matias,Summerell,25 March 2018,,Full-Time,France,Cergy-Pontoise,Support,n/a
d3132e22-c78c-4457-af4c-fd67a138a024,Dixie,Dempster,04 August 2020,,Full-Time,United States,Kansas City,Sales,Consumer Durables
d60fd073-1a34-4b0f-a5bb-259dc76b8904,Blinnie,Heliar,14 January 2021,,Full-Time,United States,Washington,Services,Health Care
117b2bc8-b0b8-4021-b172-b7934cfdc841,Dav,Schwerin,10 February 2019,,Full-Time,Australia,Adelaide,Engineering,n/a
1965f3f1-0ed7-497c-9091-8b526db66693,Galven,Entreis,17 November 2020,,Full-Time,Germany,Berlin,Human Resources,Finance
49468bd6-ca7a-4e96-b4a1-2348c0986b1d,Abran,Briddock,05 October 2020,,Full-Time,France,Argentan,Business Development,Finance
f58c46bd-840d-4d52-9b4c-ea7d5fb66699,Gustave,Coram,29 June 2019,,Full-Time,France,Nantes,Product Management,Consumer Services
60ad6b29-82cf-49b8-81a8-3e097e5c7c06,Lowe,Proger,25 March 2019,,Full-Time,United States,Racine,Business Development,n/a
245bd799-8311-4eae-81e2-86f1b3db1fe3,Cayla,Dobbinson,24 November 2020,,Full-Time,Canada,Metchosin,Legal,Miscellaneous
838e9e31-5a82-4ece-83c8-6681600fec94,Ulysses,Beavis,25 May 2020,,Full-Time,Canada,Parry Sound,Accounting,Health Care
b2e5219f-4061-4883-89a3-b4859c79f0e8,Neila,O' Liddy,11 February 2020,,Full-Time,France,Firminy,Sales,Consumer Durables
9143b515-9963-4f35-a92e-3e1a38a854e1,Willabella,Gornar,10 January 2020,,Full-Time,Australia,Sydney,Support,Finance
0138ec7a-0a12-49e3-925a-1d5426130394,Israel,Hosburn,09 May 2019,,Full-Time,France,Marseille,Business Development,n/a
b2526efc-df43-4ff3-bfce-fceca1ad3d25,Bette-ann,Habgood,26 December 2020,,Full-Time,United States,Scottsdale,Product Management,n/a
310b3785-2255-4216-91d9-4f8af5052e5c,Natty,D'Ambrogio,11 July 2020,,Full-Time,France,Villefranche-sur-Mer,Marketing,Finance
50d0d04a-edf9-45ef-b9a4-b0c20de55f5d,Tome,Dilke,11 June 2020,,Full-Time,Germany,DÃ¼sseldorf,Training,Basic Industries
452a5c5a-b5aa-4a40-888b-c7d521473519,Burk,Addlestone,10 March 2020,,Full-Time,United Kingdom,Ashley,Human Resources,Energy
b2db0c77-099b-4f7a-8fda-867ef8c4cc8f,Sammy,Cisar,27 February 2019,,Full-Time,Canada,Oromocto,Business Development,n/a
f81642a5-bca7-4afd-966b-7814d3f67de5,Neille,Hagger,10 January 2020,,Full-Time,United States,Austin,Support,Capital Goods
e2d51e06-01dc-4e01-aa8c-c16719bc627c,Cherish,Karlsen,26 July 2019,,Full-Time,France,Schirmeck,Services,Consumer Services
ceba401c-22fe-4945-86b4-d56f5eb3b46d,Carma,Rhydderch,09 February 2019,,Full-Time,Canada,Neepawa,Engineering,Finance
72ac9523-5347-4cf3-a691-b538b45d74c2,Anni,Seabourne,10 October 2019,,Full-Time,Canada,Ponoka,Product Management,n/a
fa2dbd10-1bee-4bc2-8db8-32715cd4bf71,Carmelia,Purdy,07 August 2020,,Full-Time,United States,New York City,Training,Technology
14daffd6-7f7b-4a62-8eef-df6d41e613e7,Dorette,Ashman,25 May 2019,,Full-Time,Australia,Sydney,Support,Consumer Services
9317ab56-a747-481c-adaa-3a05a9dd21fe,Toddie,Wilbore,05 June 2020,,Full-Time,France,Cachan,Services,Consumer Non-Durables
c53e0e52-76aa-4541-b348-cb7cf5d6e34c,Donny,Dabling,01 July 2020,,Full-Time,Germany,Berlin,Engineering,Miscellaneous
ea903885-f427-4b40-8495-d26b5eb8177b,Rickert,Frango,18 September 2018,,Full-Time,Canada,Dollard-Des Ormeaux,Training,Finance
762e2937-98ba-4e7d-a60b-d367ff952986,Goldie,D'Errico,13 April 2019,,Full-Time,Canada,Strathmore,Human Resources,Consumer Services
af07fd89-42b2-41e4-bab0-353b639ffa2a,Roanne,Spieght,24 August 2020,,Full-Time,France,La Rochelle,Legal,n/a
96068607-b982-40a9-865f-4ff9ab3a54fa,Husain,Toffanini,31 January 2019,,Full-Time,France,VÃ©lizy-Villacoublay,Marketing,Technology
65dab03a-3fdd-4085-a5f5-04a81ae2638c,Kylie,Bartoshevich,06 May 2020,,Full-Time,United States,New York City,Research and Development,Consumer Services
f8cd778a-6976-4d04-8a47-4a2a3cc21c6a,Uriah,Gautrey,20 November 2020,,Full-Time,France,La Rochelle,Accounting,Health Care
2236399b-196c-4e96-941b-8bb14ac82b48,Christye,Itzak,05 December 2018,,Full-Time,France,Toulon,Sales,Consumer Services
0c583798-d660-460b-b090-dd925012a98a,Lilla,Rudolf,20 May 2019,,Full-Time,United States,Arlington,Legal,Miscellaneous
aaabba2e-23c4-4587-857b-5072ef2e07b6,Isiahi,Pimblotte,17 April 2020,,Full-Time,Canada,Saint-Lin-Laurentides,Services,Finance
a7ee6ec6-7660-458f-a268-b2598e6590b9,Paulo,Spoerl,14 June 2018,,Full-Time,France,Meaux,Legal,n/a
79c2f9a5-42f7-444f-9db4-ea5a12336c78,Karlene,Rawood,19 December 2020,,Full-Time,France,Lille,Sales,Technology
1b2f44f7-29d6-4901-8ba6-463894099b75,Haleigh,Batcock,07 December 2019,,Full-Time,France,Rungis,Sales,n/a
fca93569-c8e3-4c08-94d2-242e1f4493aa,Osbourn,Snelling,20 December 2018,,Full-Time,France,Noisy-le-Grand,Human Resources,Finance
b6f08eef-d2a8-422f-863c-da8a905b998e,Humphrey,Pardie,20 June 2020,,Full-Time,France,Boissy-Saint-LÃ©ger,Human Resources,Miscellaneous
ebf7c827-399e-40fb-b7e0-acf068965791,Janaye,Remirez,06 January 2020,,Full-Time,France,Lille,Accounting,Technology
3e0f577d-681b-4710-98dc-2470c6a8aa93,Muriel,Hannaway,25 March 2019,,Full-Time,France,Ussel,Legal,Energy
e8610c5c-f51e-40a6-be89-306f026354af,Witty,Slorach,26 June 2020,,Full-Time,Canada,Ashcroft,Training,n/a
8c0c628f-6f0d-47d0-808a-eedaf8e6fed7,Coralie,Nattriss,12 January 2020,,Full-Time,Canada,MontrÃ©al-Ouest,Legal,Consumer Services
174ccb64-a6c9-4908-9663-92c4a6046f29,Desiri,Hasluck,10 January 2019,,Full-Time,France,Versailles,Business Development,Technology
1a75d6f4-221a-4ea8-87c8-c325811e19a2,Langsdon,Fairholme,24 October 2018,,Full-Time,France,Tournon-sur-RhÃ´ne,Legal,Technology
3211a16a-a860-470c-8c84-35feaf87fbe0,Yelena,Yo,26 October 2019,,Full-Time,France,Golbey,Support,Consumer Non-Durables
fd65c5b0-518e-48da-a2e1-002f49fab020,Ellie,Hallward,31 July 2018,,Full-Time,France,Saumur,Support,n/a
39e5b0ad-0b38-478f-8d82-8c02cee752bd,Corbet,Stollsteimer,31 May 2020,,Full-Time,Canada,Acton Vale,Legal,Capital Goods
82dff921-bbd3-46c7-878a-e8ba2b7ca7e9,Inessa,Wollacott,20 August 2020,,Full-Time,France,Niort,Training,Consumer Services
99a90500-f740-4b25-8703-b62f4fb218f2,Stearn,Grinham,27 August 2020,,Full-Time,France,AngoulÃªme,Engineering,Finance
56272ef5-61c3-426e-8b6f-392ad67566fb,Arabele,Leggin,11 November 2019,,Full-Time,Canada,Charlottetown,Research and Development,Energy
abec2297-a667-45bf-a932-25774070ebfc,Mufinella,Chatel,31 July 2020,,Full-Time,United States,Seattle,Services,Technology
ba6bdcbd-ac1c-4d99-9d0e-3b1df0be160e,Dacey,Massot,21 August 2020,,Full-Time,Germany,MÃ¼lheim an der Ruhr,Services,Capital Goods
7526e048-b874-4f99-814a-8d8fff399b2d,Ulrika,Frango,15 July 2020,,Full-Time,Canada,Dorchester,Business Development,Consumer Services
d8616a7b-c568-4469-ab9b-47802ebb0058,Manolo,Treamayne,02 February 2019,,Full-Time,Canada,Shediac,Accounting,Consumer Services
b3fb217a-7a95-4032-832f-e95fd647b346,Maure,Aikin,10 July 2018,,Full-Time,France,ChenneviÃ¨res-sur-Marne,Legal,Finance
edd98095-7a65-4678-b47c-8b2b7a46b99e,Brig,Luckie,07 December 2019,,Full-Time,Canada,Sussex,Marketing,Health Care
c6ea6530-7708-4161-abce-ce4f0f825c5d,Ericka,Kiddey,20 July 2020,,Full-Time,France,Mazamet,Research and Development,Capital Goods
160167f2-d812-4e13-af7f-1c2c2301cc58,Evangelina,Kirkby,12 April 2020,,Full-Time,United States,Lincoln,Accounting,Finance
748f11d4-1ada-4880-b734-996fe1085fca,Austine,Jopling,08 November 2020,,Full-Time,United States,Washington,Research and Development,n/a
0031f098-5d7a-4ec4-93bf-ad65f4c088d3,Jessi,Addis,05 October 2020,,Full-Time,Canada,Aldergrove,Legal,Basic Industries
ec56efc3-a156-453f-8445-4eac0ce2388c,Brenda,Seeman,21 October 2020,,Full-Time,France,Cahors,Sales,n/a
0ce5bbfc-9636-4ea3-ad37-5aa0cdcb2248,Janie,Manueli,25 September 2019,,Full-Time,France,Lyon,Product Management,Finance
d0755bda-057e-4890-8712-4e0cfbce8cad,Durant,Bing,28 April 2020,,Full-Time,France,Paris 15,Legal,Health Care
20f8e1b5-6e38-453c-b0f5-10a5ed5b76e3,Berky,Jaksic,09 December 2020,,Full-Time,Canada,Amos,Human Resources,Health Care
143c9f1c-a9f7-4c06-b1ab-e7c5025e281f,Ryun,Betho,08 October 2018,,Full-Time,United Kingdom,London,Services,Technology
ea98d456-c5a6-4eca-acf5-79c0603386f1,Vivyanne,Daouse,20 November 2020,,Full-Time,France,OrlÃ©ans,Support,Finance
8a587577-0daf-419d-a7fb-96c59c0394e1,Karena,Bonnesen,05 January 2021,,Full-Time,United States,Washington,Training,Health Care
a0eddba0-c908-4bf8-8b39-3cdc5992713d,Peggi,Britney,30 May 2019,,Full-Time,Australia,Launceston,Accounting,n/a
8dc13814-0f48-4664-9312-e34996730af7,Claudell,McGuffie,26 May 2019,,Full-Time,France,La Rochelle,Product Management,n/a
ec973b6e-0bfb-413c-9bc1-e6b3922472a4,Joe,Inchbald,04 November 2020,,Full-Time,United States,Bronx,Legal,Health Care
8eb3d3f8-adec-4066-9aaf-27bc446c3685,Cory,Telling,14 September 2020,,Full-Time,United States,Amarillo,Legal,Finance
bbeed1d5-01d2-4247-b4ba-29ed5387d2fc,Leonhard,Planke,23 September 2020,,Full-Time,United States,Kissimmee,Sales,Public Utilities
b08bdd71-f6fd-46f6-ae3e-8455ad4866fb,Merrel,Youthed,26 November 2020,,Full-Time,United States,Port Washington,Legal,Finance
e6b31541-55a1-4392-9a02-cf826157268c,Lilla,Hubbucke,25 October 2020,,Full-Time,United States,Bethlehem,Training,Miscellaneous
c1044456-49fd-46f9-b7a7-c27da22d6866,Arabelle,Mattiussi,25 June 2019,,Full-Time,Australia,Northern Suburbs Mc,Training,Energy
d7047140-0781-4c52-9e14-f8ed16f648d2,Shawn,Betjeman,04 December 2020,,Full-Time,Canada,Gibbons,Legal,n/a
39970ac3-b5cf-4995-b4d2-79298da2c3a9,Alecia,Wixon,12 February 2020,,Full-Time,France,Dijon,Services,Finance
27e0c220-1d7f-4710-b48a-dff17bc8f033,Iormina,Pick,16 December 2020,,Apprentice,France,Paris 10,Support,n/a
d82ce23b-65d2-485a-b5d2-4524a355162e,Gerrie,Mateescu,11 March 2020,,Part-Time,Canada,Asbestos,Sales,n/a
1cf8424c-adbe-42f3-9b21-41831ef28c03,Bellina,Blann,20 September 2020,,Temporary,United States,San Diego,Human Resources,Basic Industries
58cb4098-ad6d-4bbc-97be-1d9b6cf2d46c,Phyllida,Albrighton,21 January 2020,,Part-Time,United States,Harrisburg,Marketing,Energy
ee2c5b24-15f2-4f63-a83c-a39503f5cd88,Julieta,Carrol,06 November 2020,,Contractor,France,Massy,Accounting,n/a
cb96fc71-6b2c-470b-9e30-cc694e5cf85d,Zechariah,Croughan,28 October 2020,,Part-Time,Canada,Outlook,Sales,Transportation
41c652a5-4840-4148-b9a6-4426aafd05e9,Jeffy,Domenge,31 May 2019,,Contractor,France,MÃ©ru,Research and Development,n/a
8afaf842-8bdb-41f2-81f3-cf87c44dd170,Hersch,Nethercott,18 August 2018,,Part-Time,France,Dinan,Human Resources,Consumer Services
84ddfe8b-8fb2-49c6-85b8-b80f1ceacf39,Frederico,Morville,24 April 2020,,Part-Time,France,Montpellier,Support,Health Care
b576527b-4850-4f00-8790-40fd2a6324c5,Binnie,Claremont,11 December 2020,,Part-Time,France,Saint-Quentin-en-Yvelines,Human Resources,n/a
f9e20ade-5b9c-4363-85be-cc280d5565bd,Giovanna,Hurling,01 September 2020,,Temporary,France,Saint-Louis,Business Development,Miscellaneous
2b0eda4b-3036-4f65-bc71-1500356fb16f,Ignaz,Fryers,04 April 2019,,Part-Time,France,Niort,Accounting,n/a
3f75ac5b-aa7d-4c39-9b76-d75064dd0339,Aurora,Mennear,07 December 2019,,Contractor,United States,Grand Rapids,Legal,n/a
0c3e4f97-a66e-4f5b-8f64-261e0250c4f8,Roth,Micco,13 April 2020,,Part-Time,France,Roubaix,Accounting,Finance
8cb7c540-4a33-4d4c-ac1e-4b5686ed250c,Jon,Van de Velde,23 September 2020,,Contractor,France,Manosque,Human Resources,Capital Goods
7c7ddf02-371f-4186-925a-6cf7658ecf64,Ursulina,McCleary,27 January 2020,,Apprentice,United Kingdom,Burnside,Services,n/a
831a1fb7-3421-44ed-9b00-9f4f83ec31d9,Derril,Degan,20 June 2019,,Temporary,Canada,Saint-RÃ©mi,Accounting,Technology
b4d101ad-bfa6-4cb5-8390-003e162c41f1,Rab,Cuardall,09 June 2019,,Temporary,France,Arras,Product Management,Public Utilities
6a224113-46f9-4f36-a836-6637376797f2,Mortie,Penwright,10 February 2020,,Contractor,France,Paris 01,Legal,Health Care
5f2c6800-4e2d-462a-875b-dc7444f3f8ef,Farrell,Placide,19 November 2019,,Contractor,Canada,Agassiz,Sales,n/a
4fa24424-c8b8-49a7-9b20-d0c3071df828,Genevieve,Damsell,28 August 2019,,Temporary,Canada,Parry Sound,Product Management,Technology
adb4bcb8-3eb0-4c65-a6c8-bdcb74e1897c,Gregor,Compston,12 December 2020,,Part-Time,France,Auch,Business Development,n/a
b5ceaed1-5ed6-4656-9125-b9bc187f3ee9,Seka,Fear,14 June 2020,,Part-Time,France,Puteaux,Human Resources,n/a
c53a78b3-3738-4c52-b334-b847aa8c711a,Clio,Keets,02 August 2019,,Apprentice,Canada,Manning,Business Development,Technology
81e5f9fb-9554-4a12-8e94-2ecf0f302beb,Tobiah,Gellibrand,07 January 2020,,Apprentice,United States,Houston,Business Development,Finance
de0cdd66-fb6c-4eb7-a1df-2360d541ae7e,Frederico,Wrettum,14 July 2020,,Contractor,France,Redon,Training,Consumer Services
51bce5cf-5d77-434a-a363-6c68b74b2bb9,Wyatan,Pilbeam,06 August 2019,,Apprentice,United States,Tallahassee,Legal,Energy
3fc3980f-c6b4-4d20-abab-c3d77990dd57,Meaghan,Mougeot,24 February 2018,,Contractor,United States,Clearwater,Product Management,Consumer Non-Durables
5c18db5c-4137-49d3-bd9d-64446d556352,Sheree,Rushbrook,05 January 2020,,Temporary,France,Montpellier,Human Resources,Finance
b203a5e2-cf4b-4869-982c-a90df7dff2e3,Brenn,Attwater,28 November 2019,,Temporary,France,Quimper,Support,Consumer Services
6bec32c0-7fd1-4108-bb9d-c34f4d697f3e,Jamil,Iacopetti,16 August 2019,,Apprentice,United States,North Little Rock,Support,Consumer Durables
72689ea8-76e2-4fd9-b002-7b0fb99b327a,Emily,Gambie,28 November 2019,,Apprentice,France,Marseille,Support,Public Utilities
236f5253-3e3e-4ce8-a162-3bbfa1400f6b,Randie,Stenett,18 January 2019,,Apprentice,Canada,Port-Cartier,Sales,Miscellaneous
a53390d0-5a0f-4a1e-a64c-392354db3a63,Penny,Traite,28 October 2020,,Temporary,France,Antony,Marketing,n/a
